OBJECTID,CODE,NAME,步行友善度,自行車便利度,街道連通度,大眾運輸可達度,生活機能多樣性,都市密度強度,區域整合度,低汽車依賴度,TOD整體分數,交易物件數量,建物單價元/坪
1,R25,關渡站,0.815015251,0.369001866,0.646989486,1,0.184430924,0.829355057,0.343300254,0.811350187,62.01981859,4,523319.8151
2,R24,忠義站,0.179874183,0.218747998,0.007795914,1,0.106705361,0.483602501,0.885133236,0.721836809,53.89149011,2,392176.8448
3,R22A,新北投站,0.933578593,0.658021349,0.908041342,1,0.855726984,0.86549435,0.495417709,0.87971511,77.45895842,11,712607.3184
4,R22,北投站,0.984379798,0.948763354,0.724288532,1,0.538905191,0.305462465,0.598239003,0.789554804,68.4228765,5,687088.4512
5,R21,奇岩站,0.860628016,0.511197262,0.564144844,1,0.47269162,0.526204296,0.655538826,0.779652405,65.16799967,4,602611.3574
6,R20,唭哩岸站,0.76032135,0.462863057,0.649040958,1,0.769089328,0.366177427,0.221350504,0.435240583,63.61586556,9,728819.7389
7,R19,石牌站,0.802912409,0.664710702,0.706560398,1,0.766807885,0.709252454,0.278046054,0.423193226,67.23606677,3,792542.4556
8,R18,明德站,0.837122591,0.561920934,0.880970512,1,0.855429694,0.486434787,0.199860946,0.682963316,70.54792398,9,740707.4102
9,R17,芝山站,0.87566313,0.977890495,0.715586671,1,0.85474368,0.309596365,0.337754323,0.661479469,70.09677909,9,830631.3738
10,R14,圓山站,0.941307604,0.910340701,0.289630733,1,0.260476414,0.631707244,0.686585725,0.615362642,62.19560815,4,888684.4785
11,R15,劍潭站,0.708111901,0.979450978,0.408700589,1,0.385571731,0.615019515,0.484430724,0.290914149,59.46114878,11,868367.6362
12,R16,士林站,0.960420569,1,0.946108573,1,0.390831972,0.840531139,0.661380735,0.922916548,73.79783179,2,1041769.135
13,R13 / O11,民權西路站,0.983452438,0.996273869,0.721067906,1,0.799148139,0.845695642,0.93067286,0.879092809,79.98947512,12,737904.717
14,R12,雙連站,0.811730297,0.953915947,0.740509612,1,1,0.860806751,0.33574017,0.869557869,77.59744205,16,802675.8475
15,R09,台大醫院站,0.941850599,0.872257412,0.549596249,1,0.116679511,0.846341188,0.776732459,0.890661113,67.00857916,,
16,BR01,動物園站,0.389474978,0.727617184,0.025311218,1,0.063024292,0.602314334,0.337754323,0.482971693,50.7850528,,
17,BR02,木柵站,0.300210067,0.154424889,0.161202551,1,0.151096926,0.858628246,0.509351543,0.227872789,51.71222874,4,731270.9104
18,BR03,萬芳社區站,0.070951513,0,0.330352275,1,0.240887582,1,0.776487846,0.044176164,54.72911168,1,784376.8301
19,BR04,萬芳醫院站,0.461520231,0.320682477,0.579698318,1,0.625814879,0.892733905,0.279563334,0.529704398,62.53786783,2,807990.0523
20,BR05,辛亥站,0.169362439,0.222739797,0.481788061,1,0.370019341,0.393795775,0.1361253,0.295492125,51.27711114,12,686450.9278
21,BR06,麟光站,0.390727315,0.27246959,0.184890777,1,0.468290561,0,0.659177491,0,51.55683526,16,789285.8015
22,BR07,六張犁站,0.915611735,0.90501898,0.721289142,1,0.813971675,0.785035488,0.18959371,0.828616576,72.79613103,43,936871.6599
23,BR08,科技大樓站,0.982377203,0.995604066,0.771199947,1,0.87334167,0.839820413,0.884786313,0.892594289,81.34414189,24,1282742.851
24,R05 / BR09,大安站,0.911272424,0.956617936,0.759691418,1,0.812065154,0.801669303,0.491620573,0.824209613,75.01230854,7,1092130.108
25,BR12,中山國中站,0.900670483,0.923907014,0.749348263,1,0.823665275,0.42992665,0.911706498,0.8632337,76.7617637,2,951937.1544
26,BL22,南港站,0.984357343,0.984259863,0.743883478,0.999977815,0,0.728582567,0.416351923,0.957058158,65.49242599,,
27,BL21,昆陽站,0.67228584,0.722629704,0.55339657,1,0.579577801,0.489954076,0.546023362,0.632556466,63.71984559,4,633042.9515
28,BL20,後山埤站,0.965306355,0.976294085,0.723268417,1,0.701873834,0.486125569,0.885134893,0.844566785,74.97740938,7,918407.7633
29,BL19,永春站,0.908693033,0.885759154,0.998841239,1,0.819242759,0.767570509,0.160034717,0.276279355,72.03868373,13,805712.3664
30,BL18,市政府站,0.993645839,0.961078629,0.749241497,1,0.567430027,0.816646902,0.486235556,0.889224671,72.26955303,10,904187.5266
31,BL17,國父紀念館,0.982270223,0.981554588,0.885888708,1,0.957881223,0.614361395,0.378617696,0.766694033,77.44222284,7,984723.4577
32,BL16,忠孝敦化站,0.966522073,0.981113143,0.723085953,1,0.841215313,0.66049439,0.600585122,0.815215457,75.45887363,7,1023345.888
33,BL15 / BR10,忠孝復興站,0.966191046,0.989246596,0.720755181,1,0.795690905,0.702751364,0.81119223,0.822001914,76.90483559,4,1087794.573
34,G08,台電大樓站,0.940494328,0.864177589,0.716067694,1,0.796677929,0.644215578,0.633630386,0.705298141,73.24792622,15,934979.6789
35,G05,景美站,0.950181033,0.699333051,0.659190444,1,0.365798213,0.744285994,0.283347444,0.651976797,63.99648095,11,662444.6496
36,BL10,龍山寺站,0.998084967,0.941164201,0.963546008,1,0.652996403,0.859630227,1,0.875138203,81.1410441,9,676500.3627
37,BL13,善導寺站,0.833576184,0.999056115,0.603109889,1,0.387550751,0.854482535,0.240884174,0.948147775,66.87177504,10,974261.1176
38,G11,小南門站,0.961893207,0.834859643,0.717306457,1,0.290911062,0.829384577,0.890290556,0.565396998,69.07140739,,
39,R08 / G10,中正紀念堂,0.840950954,0.987542373,0.694081863,1,0.243325428,0.831433545,0.654347643,0.359671172,64.40085562,,
40,G09 / O05,古亭站,0.910054598,0.999175624,1,1,0.844882801,0.817497318,0.305371353,0.871585507,77.92703485,11,1031262.17
41,BL14 / O07,忠孝新生站,1,0.99457734,0.834551354,1,0.665501671,0.453128038,0.39058434,0.852610825,71.63721151,4,948990.8736
42,BL12 / R10,台北車站,0.905122706,0.730339574,0.826673752,1,0.526439685,0.857510732,0.893052559,0.90604635,75.06361273,,
43,BL11 / G12,西門站,0.995966298,0.929028309,0.870729561,1,0.820609643,0.861234857,0.735771092,1,80.78892922,2,973328.2454
44,BL23 / BR24,南港展覽館站,0.872693799,0.908946951,0.468672325,1,0.580808354,0.717562069,0.474344502,0.62373374,65.99680375,4,641581.7942
45,BR14,大直站,0.940824633,0.977287217,0.940811704,1,0.693527004,0.431959243,0.150998065,0.414277502,68.47110315,8,830273.5508
46,BR16,西湖站,0.904743946,0.907508476,0.351029639,1,0.400990308,0.807614998,0.764399106,0.797744917,67.17671029,6,592299.7023
47,BR17,港墘站,0.967823313,0.982524808,0.851802376,1,0.805732345,0.634721388,0.314624023,0.819760189,74.24996153,8,966206.239
48,BR18,文德站,0.595259587,0.774808899,0.587489498,1,0.50686092,0.613157681,0.518000321,0.3376979,61.40344716,5,713456.2954
49,BR19,內湖站,0.644250573,0.756699525,0.725869148,1,0.791846902,0.445022568,0.77660962,0.56603464,69.90128271,13,812457.0891
50,BR20,大湖公園站,0.678518317,0.832195889,0.803411069,1,0.418192506,0.382439018,0.337754323,0.565721271,62.07776128,2,560832.1311
51,BR21,葫洲站,0.472949177,0.486019083,0.405326675,1,0.311446093,0.135360777,0.06747005,0.581103117,52.53750881,26,837124.9734
52,BR22,東湖站,0.785697198,0.811880438,0.504435161,1,0.649929253,0.77209114,0.953602202,0.552569206,70.72103031,14,588814.8245
53,BR23,南港軟體園區站,0.924993627,0.93246923,0.128145249,1,0.534245138,0.708355273,0.822898705,0.689431207,66.79305788,7,933898.7798
54,G06,萬隆站,0.693700955,0.712093688,0.706272959,1,0.507848198,0.312606418,0.464580855,0.635042846,62.76484761,17,700943.1934
55,G07,公館站,0.50484131,0.876697469,0.282894883,1,0.235535371,0.716423916,0.350941937,0.609541507,56.88923741,5,696479.3127
56,R23,復興崗站,0,0.143670846,0,0,0.226835732,0.298527675,0.616994235,0.138080117,41.50099433,3,610447.6991
57,O09,行天宮站,0.936601328,0.989136657,0.722874029,1,0.866181737,0.713900532,0.585372316,0.88086591,76.48119731,5,759004.56
58,O10,中山國小站,0.978395862,0.970581563,0.719487762,1,0.857195428,0.725416229,0.661380735,0.828622216,76.7965482,30,685898.4349
59,BR13,松山機場站,0.886709565,0.967485563,0.189739979,1,0.44799145,0.659681146,0.156004097,0.851300693,62.2198212,,
60,O12,大橋頭站,0.991977612,0.978117933,0.960931865,1,0.901403293,0.866008049,0.661380735,0.844536448,81.55352449,19,876195.1021
61,R07 / O06,東門站,0.923494672,0.932550893,0.723322817,1,0.763839178,0.572193055,0.897937107,0.873496222,76.39005038,7,1316432.592
62,BR15,劍南路站,0.944541628,0.984811909,0.771657119,1,0.961280916,0.527315275,0.995094648,0.793651316,81.31752806,9,748577.4558
63,R03,台北101/世貿站,0.982514419,0.951207651,0.889477747,1,0.749129655,0.822792226,0.709542485,0.905964193,78.38921537,2,943371.7387
64,R06,大安森林公園站,0.916154608,0.933023039,0.828186396,1,0.738201976,0.380069437,0.958681871,0.788779339,76.01009839,2,1148568.552
65,R04,信義安和站,0.951183241,0.97368768,0.88098201,1,0.595584066,0.810942124,0.08566212,0.866614004,71.60179229,9,1053428.384
66,R02,象山站,0.324042747,0.655773119,0.519826336,1,0.501554733,0.453935135,0,0.71209636,57.67134253,6,1156055.452
67,G16 / BR11,南京復興站,0.943622518,0.95156028,0.769311351,1,0.877293286,0.759046631,0.659287186,0.907940803,78.18803089,15,1117623.547
68,G15 / O08,松江南京站,0.904258578,0.988761073,0.940289293,1,0.849883462,0.721348783,0.594638778,0.919799786,78.74674554,29,1005236.328
69,G19,松山站,0.9572687,0.955644065,0.952965725,1,0.789115352,0.839602725,0.672076607,0.83687108,78.85747784,5,688193.6932
70,G18,南京三民站,0.927869324,0.947491987,0.793154369,1,0.715689239,0.633103904,0.367609386,0.823137897,71.92237695,26,903814.3667
71,G17,台北小巨蛋站,0.81561023,0.892632318,0.708275267,1,0.798291136,0.482942618,0.2047954,0.903516599,70.36345425,3,951096.3831
72,G13,北門站,0.989836429,0.910261056,0.541426802,1,0.624017615,0.849763023,0.319200423,0.729360926,68.93685991,,
73,R11 / G14,中山站,0.894087072,0.756804155,0.969035292,1,0.841637214,0.862874622,0.286255039,0.894581476,76.859705,14,1261694.621
